"gene.name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test.result"
"GCLC",232.8235989,-0.669026757,0.211546374,-3.16255365,0.001563919,0.007365785,"**"
"TSPAN6",25.25674458,1.302468822,0.416671002,3.12589265,0.001772662,0.008209295,"**"
"REX1BD",193.4448952,0.861158515,0.276355462,3.116126274,0.001832438,0.008452359,"**"
"ATP2C1",590.7948528,-0.627944377,0.204671493,-3.068059786,0.002154535,0.009722923,"**"
"CDC27",917.5149394,-0.623203755,0.203487297,-3.062617483,0.002194103,0.009877458,"**"
"PIK3C2A",881.4390313,0.633522213,0.212441802,2.982097716,0.002862806,0.012467319,"**"
"POLDIP2",279.5527647,-0.759485105,0.254712771,-2.981731547,0.002866232,0.01247931,"**"
"CD9",10.04887624,1.817403447,0.611215014,2.973427361,0.002944941,0.012774035,"**"
"CASP10",663.9707296,0.784218383,0.267669042,2.929806067,0.003391736,0.014473814,"**"
"CALCOCO1",924.5695794,-0.675559297,0.231790989,-2.914519232,0.003562369,0.015071622,"**"
"UBR2",1282.697759,-0.536979457,0.18435543,-2.912740122,0.003582726,0.015144083,"**"
"AP2B1",2226.782245,-0.454364725,0.156468687,-2.903869988,0.003685812,0.015520163,"**"
"DBNDD1",10.81135919,1.824312754,0.629121053,2.899780168,0.003734245,0.015687886,"**"
"CEACAM21",71.05787286,0.959857322,0.331398712,2.896382174,0.003774924,0.015833684,"**"
"CD6",1680.531746,0.626155204,0.2191619,2.857044053,0.004276065,0.017620959,"**"
"ELOA",291.6753407,-0.583275401,0.205241446,-2.841898711,0.004484574,0.018305349,"**"
"FUCA2",72.03849226,-0.764421958,0.274762493,-2.782119024,0.005400523,0.021358027,"**"
"HSF2",215.7084984,0.831224426,0.298848972,2.781419725,0.005412171,0.021399532,"**"
"NISCH",639.3561705,0.431885816,0.156508359,2.759506384,0.005788876,0.022666784,"**"
"CAMKK1",21.50830965,1.354853679,0.493711256,2.744222789,0.006065436,0.023590349,"**"
"HIVEP2",3786.947213,0.401371727,0.146806493,2.734018898,0.006256645,0.024267883,"**"
"SPPL2B",149.7828779,0.909394382,0.335555252,2.710118157,0.006725924,0.025743624,"**"
"RPUSD1",48.65418693,-0.905300323,0.334428975,-2.707003251,0.006789359,0.025956421,"**"
"WAS",537.4737186,-0.593125329,0.221338443,-2.679721247,0.007368349,0.027784068,"**"
"FHL1",93.9045237,0.831566359,0.31099998,2.673846983,0.007498666,0.028155282,"**"
"CCDC28A",182.905663,-0.646737185,0.247527274,-2.612791606,0.008980604,0.032782416,"**"
"SLC39A9",488.5664401,-0.491773743,0.188255353,-2.612269639,0.008994328,0.032814706,"**"
"POLA2",178.3342892,-0.808669075,0.320548771,-2.522764544,0.011643633,0.040795597,"*"
"PLXND1",70.80359114,-1.274939237,0.509723016,-2.501239295,0.012375952,0.043036302,"*"
"MKS1",62.87393639,0.777468571,0.311329644,2.497251983,0.012515998,0.043424523,"*"
"PGLYRP1",2.276909764,1.794949571,0.727856451,2.466076337,0.013660222,0.04673141,"*"
"TBXA2R",47.3778498,0.948266029,0.385407293,2.460425754,0.013877228,0.047290657,"*"
"MAP4K5",455.8576951,-0.47413126,0.193056881,-2.455914841,0.014052645,0.047794778,"*"
"AKAP11",1974.823728,0.37992502,0.155419817,2.444508209,0.014504978,0.049015729,"*"
"BAD",17.4333591,-1.057237408,0.435780438,-2.426078171,0.015262982,0.051148636,"*"
"TBPL1",175.5906321,-0.623200654,0.258607148,-2.409835377,0.01595972,0.053052271,"*"
"MIPEP",54.12290046,-0.9088413,0.381793243,-2.380454123,0.017291314,0.056706462,"*"
"BAIAP2L1",24.44693474,1.266879129,0.535150375,2.367332975,0.017916805,0.0582623,"*"
"CELSR3",137.47692,0.799789443,0.341250366,2.343702813,0.019093378,0.061326239,"*"
"ERP44",431.3443113,-0.469743418,0.200441139,-2.34354794,0.019101307,0.06133746,"*"
"ADIPOR2",245.6038187,-0.782967407,0.336210715,-2.328799684,0.01986968,0.063250224,"*"
